2026-01-27 01:52:40 | INFO     | __main__ | Running in PROD environment
2026-01-27 01:52:40 | DEBUG    | __main__ | URL: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_22012026.csv
2026-01-27 01:52:40 | DEBUG    | __main__ | URL: https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
2026-01-27 01:52:43 | DEBUG    | __main__ | Fetched & Exported bhavcopy rows: 3102
2026-01-27 01:52:45 | DEBUG    | __main__ | Reading last report.
2026-01-27 01:52:45 | INFO     | __main__ | Final file merged and exported.
2026-01-27 01:54:25 | INFO     | __main__ | Running in PROD environment
2026-01-27 01:54:25 | DEBUG    | __main__ | URL: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_22012026.csv
2026-01-27 01:54:25 | DEBUG    | __main__ | URL: https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
2026-01-27 01:54:27 | DEBUG    | __main__ | Fetched & Exported bhavcopy rows: 3102
2026-01-27 01:55:23 | INFO     | __main__ | Running in PROD environment
2026-01-27 01:55:23 | DEBUG    | __main__ | URL: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_23012026.csv
2026-01-27 01:55:23 | DEBUG    | __main__ | URL: https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
2026-01-27 01:55:25 | DEBUG    | __main__ | Fetched & Exported bhavcopy rows: 3102
2026-01-27 01:58:05 | INFO     | __main__ | Running in PROD environment
2026-01-27 01:58:05 | DEBUG    | __main__ | URL: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_23012026.csv
2026-01-27 01:58:05 | DEBUG    | __main__ | URL: https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
2026-01-27 01:58:07 | DEBUG    | __main__ | Fetched & Exported bhavcopy rows: 3102
