SYMBOL,change_07022026,change_07022026_x,change_07022026_y,change_10022026,change_07022026_x.1,change_07022026_y.2,change_09022026_x,change_07022026_y.1,change_27012026_x,change_27012026_y
20MICRONS,-0.5886599655689467,-0.5886599655689467,-0.5886599655689467,,-0.5886599655689467,-0.5886599655689467,-0.5886599655689467,-0.5886599655689467,-0.5886599655689467,-0.5886599655689467
21STCENMGM,-1.9811788013868354,-1.9811788013868357,-1.981178801386836,-1.981178801386836,-1.981178801386836,-1.981178801386836,-1.981178801386836,-1.981178801386836,-1.981178801386836,-1.981178801386836
360ONE,0.542348368435325,0.542348368435325,0.542348368435325,0.542348368435325,0.542348368435325,0.542348368435325,0.542348368435325,0.542348368435325,0.542348368435325,0.542348368435325
3IINFOLTD,-0.3353454057679457,-0.3353454057679457,-0.3353454057679457,-0.3353454057679457,-0.3353454057679457,-0.3353454057679457,-0.3353454057679457,-0.3353454057679457,-0.3353454057679457,-0.3353454057679457
3MINDIA,-1.7256637168141593,-1.7256637168141593,-1.7256637168141593,-1.7256637168141593,-1.7256637168141593,-1.7256637168141593,-1.7256637168141593,-1.7256637168141593,-1.7256637168141593,-1.7256637168141593
3PLAND,-0.2846569883290675,-0.2846569883290675,-0.2846569883290675,-0.2846569883290675,-0.2846569883290675,-0.2846569883290675,-0.2846569883290675,-0.2846569883290675,-0.2846569883290675,-0.2846569883290675
5PAISA,-4.638009049773765,-4.638009049773765,-4.638009049773765,-4.638009049773765,-4.638009049773765,-4.638009049773765,-4.638009049773765,-4.638009049773765,-4.638009049773765,-4.638009049773765
63MOONS,-4.44714459295262,-4.44714459295262,-4.44714459295262,-4.44714459295262,-4.44714459295262,-4.44714459295262,-4.44714459295262,-4.44714459295262,-4.44714459295262,-4.44714459295262
A2ZINFRA,0.5665722379603405,0.5665722379603405,0.5665722379603405,0.5665722379603405,0.5665722379603405,0.5665722379603405,0.5665722379603405,0.5665722379603405,0.5665722379603405,0.5665722379603405
AADHARHFC,-0.35102648654399193,-0.3510264865439919,-0.3510264865439919,-0.3510264865439919,-0.3510264865439919,-0.3510264865439919,-0.3510264865439919,-0.3510264865439919,-0.3510264865439919,-0.3510264865439919
